226,Indiana,Big Ten,Nick Sheridan,450000,17308,432692,432692,17308,3480810
227,Oregon State,Pac-12,Jim Michalczik,450000,18450,431550,431550,28188,3368446
228,Louisville,ACC,Frank Ponce,430000,0,430000,430000,0,4555000
229,Arkansas,SEC,Scott Fountain,450000,22500,427500,427500,41250,5036250
230,Arkansas,SEC,Derrick LeBlanc,450000,22500,427500,427500,41250,5036250
231,Louisville,ACC,Gunter Brewer,425000,0,425000,425000,0,4555000
232,Mississippi State,SEC,Jeff Phelps,425000,0,425000,425000,0,4300000
233,Auburn,SEC,Kodi Burns,425000,0,425000,425000,0,6760000
234,Texas A&M,SEC,James Coley,425000,0,425000,425000,0,7503197
235,Purdue,Big Ten,Brian Brohm,445000,22250,422750,422750,66750,3472150
236,Louisiana State,SEC,Greg McMahon,425000,5312,419688,421938,21250,7461950
237,Florida State,ACC,Marcus Woodson,420000,0,420000,420000,0,5355750
238,Florida State,ACC,David Johnson,420000,0,420000,420000,0,5355750
239,Purdue,Big Ten,JaMarcus Shephard,435000,18850,416150,416150,56550,3472150
240,Michigan,Big Ten,Jay Harbaugh,415000,0,415000,415000,0,6270000
241,Michigan,Big Ten,Sherrone Moore,415000,0,415000,415000,0,6270000
242,Michigan,Big Ten,Brian Jean-Mary,415000,0,415000,415000,0,6270000
243,Missouri,SEC,Erik Link,425000,10625,414375,414375,10625,4840875
244,Indiana,Big Ten,Darren Hiller,430040,16540,413500,413500,16540,3480810
245,West Virginia,Big 12,Matt Moore,426000,14167,411833,411833,21250,3746980
246,Missouri,SEC,Charlie Harbison,415000,10375,404625,404625,10375,4840875
247,North Carolina,ACC,Lonnie Galloway,440000,36667,403333,403333,66000,4868415
248,North Carolina,ACC,Robert Gillespie,440000,36667,403333,403333,66000,4868415
249,North Carolina,ACC,John Lilly,440000,36667,403333,403333,66000,4868415
250,Maryland,Big Ten,Joker Phillips,402750,0,402750,402750,0,3569567
251,Utah,Pac-12,Guy Holliday,400000,0,400000,400000,0,4255000
252,Michigan,Big Ten,Ben McDaniels,400000,0,400000,400000,0,6270000
253,Georgia,SEC,Todd Hartley,400000,0,400000,400000,0,7244000
254,UCLA,Pac-12,Don Pellum,400000,0,400000,400000,0,4280800
255,Texas,Big 12,Oscar Giles,400000,0,400000,400000,0,6329999
256,Michigan,Big Ten,Shaun Nua,400000,0,400000,400000,0,6270000
257,Georgia Tech,ACC,Dave Patenaude,400000,0,400000,400000,0,3236000
258,Oklahoma State,Big 12,Dan Hammerschmidt,400000,0,400000,400000,0,4736875
259,Louisiana State,SEC,Mickey Joseph,400000,5000,395000,397250,20000,7461950
260,Iowa,Big Ten,LeVar Woods,440000,44000,396000,396000,44000,4753600
261,Iowa,Big Ten,Tim Polasek,440000,44000,396000,396000,44000,4753600
262,Kansas State,Big 12,Conor Riley,425000,30104,394896,394896,42500,3402607
263,California,Pac-12,Tim DeRuyter,400000,6666,393334,393334,6666,3623218
264,Washington,Pac-12,Keith Bhonapha,400008,7000,393008,393008,12000,5059925
265,Texas A&M,SEC,Tyler Santucci,390866,0,390866,390866,0,7503197
266,Missouri,SEC,Bush Hamdan,400000,10000,390000,390000,10000,4840875
267,Louisville,ACC,Stu Holt,390000,0,390000,390000,0,4555000
268,Mississippi State,SEC,Matt Brock,390000,0,390000,390000,0,4300000
269,Mississippi,SEC,Terrell Buckley,400000,10000,390000,390000,10000,4753125
270,Mississippi State,SEC,Steve Spurrier Jr.,390000,0,390000,390000,0,4300000
271,Mississippi,SEC,Deke Adams,400000,10000,390000,390000,10000,4753125
272,Purdue,Big Ten,Greg Brown,410000,20500,389500,389500,61500,3472150
273,Texas Tech,Big 12,Mark Tommerdahl,400000,13167,386833,388333,31600,3564139
274,West Virginia,Big 12,Chad Scott,401000,13333,387667,387667,20000,3746980
275,Colorado,Pac-12,Chris Wilson,400000,12500,387500,387500,20000,3319193
276,Nebraska,Big Ten,Ryan Held,400000,13333,386667,386667,13333,4205000
